Names	total	elements
		Niben261Scf00229g0000002.1
		Niben261Chr10g0234013.1
		Niben261Chr01g0580010.1
		Niben261Chr06g0294004.1
		Niben261Chr04g1347003.1
		Niben261Chr07g0828009.1
		Niben261Chr09g0961002.1
		Niben261Chr18g0786025.1
		Niben261Chr02g0896010.1
		Niben261Chr19g0490016.1
		Niben261Chr11g0478003.1
		Niben261Chr19g1449009.1
		Niben261Chr07g0798002.1
		Niben261Chr14g1478019.1
		Niben261Chr01g1747008.1
		Niben261Chr17g1282006.1
		Niben261Chr14g1255002.1
		Niben261Chr06g1174004.1
		Niben261Chr03g0228003.1
		Niben261Chr01g0166018.1
		Niben261Chr04g0391002.1
		Niben261Chr15g1040004.1
		Niben261Chr06g0283005.1
		Niben261Chr13g0061001.1
		Niben261Chr02g0451007.1
		Niben261Chr02g1022010.1
22h_Down 25h_Down 28h_Down 40h_Down	44	Niben261Chr11g0082003.1
		Niben261Chr16g0945025.1
		Niben261Chr19g0991018.1
		Niben261Chr04g1192036.1
		Niben261Chr12g0933008.1
		Niben261Chr05g1092017.1
		Niben261Chr17g1250005.1
		Niben261Chr01g1023001.1
		Niben261Chr11g1002001.1
		Niben261Chr04g1802009.1
		Niben261Chr19g0440005.1
		Niben261Chr19g0973005.1
		Niben261Chr05g1008011.1
		Niben261Chr14g1533008.1
		Niben261Chr15g0632004.1
		Niben261Chr12g1047002.1
		Niben261Chr02g0622002.1
		Niben261Chr15g0023005.1
		Niben261Chr13g0326023.1
		Niben261Chr10g0591003.1
		Niben261Chr15g0406009.1
		Niben261Chr18g1402007.1
		Niben261Chr03g1716001.1
		Niben261Chr16g0184001.1
		Niben261Chr06g0554009.1
		Niben261Chr04g0107024.1
		Niben261Chr04g1849001.1
		Niben261Chr09g0502001.1
		Niben261Chr04g1485018.1
		Niben261Chr18g0631005.1
		Niben261Chr11g0749013.1
		Niben261Chr07g0782014.1
		Niben261Chr02g0046008.1
		Niben261Chr09g0727018.1
		Niben261Chr10g0275026.1
		Niben261Chr09g1002011.1
		Niben261Chr09g0662002.1
		Niben261Chr09g1089007.1
		Niben261Chr02g0487011.1
		Niben261Chr03g0287030.1
		Niben261Chr19g1016011.1
		Niben261Chr03g0151006.1
		Niben261Chr08g0161029.1
		Niben261Chr10g0363002.1
