GFP22h1	GFP22h2	GFP22h3	GFP25h1	GFP25h2	GFP25h3	GFP28h1	GFP28h2	GFP28h3	GFP34h1	GFP34h2	GFP34h3	GFP37h1	GFP37h2	GFP37h3	GFP40h1	GFP40h2	GFP40h3	GFP46h1	GFP46h2	GFP46h3	GFP56h1	GFP56h2	GFP56h3	pcrtB22h1	pcrtB22h2	pcrtB22h3	pcrtB25h1	pcrtB25h2	pcrtB25h3	pcrtB28h1	pcrtB28h2	pcrtB28h3	pcrtB34h1	pcrtB34h2	pcrtB34h3	pcrtB37h1	pcrtB37h2	pcrtB37h3	pcrtB40h1	pcrtB40h2	pcrtB40h3	pcrtB46h1	pcrtB46h2	pcrtB46h3	pcrtB56h1	pcrtB56h2	pcrtB56h3
Niben261Chr05g0857002.1	1.172339	1.288213	2.003585	3.212962	2.962195	3.173929	3.607906	4.022556	4.703533	3.350241	2.135079	2.91437	2.223891	1.797928	1.792962	2.132411	0.704151	1.964613	1.469515	1.908739	1.700686	5.968086	5.536886	5.049793	1.070476	1.233596	1.943151	1.864305	2.393588	3.059007	1.676187	3.090483	1.821568	4.308199	3.163965	2.611403	1.44702	1.553347	1.936129	1.384228	0.805179	1.683346	1.865734	2.195435	2.519908	1.920281	2.289641	2.303423
Niben261Chr05g0909012.1	1.375699	0.910524	1.075058	2.013567	2.005645	2.140561	4.365517	3.121788	5.884388	0.953887	0.508096	1.570695	0.920514	1.176571	0.633679	0.300164	0.778476	1.255541	0.361847	0.767566	0.39648	4.799726	6.750015	8.009363	1.978778	0.846908	1.166179	2.779845	3.357994	2.788298	3.0782	4.794692	3.840829	2.186348	0.873505	0.926655	0.639437	0.952532	0.37341	1.136872	0.870984	0.817839	0.630982	0.622147	0.89586	1.885499	3.303213	2.082174
Niben261Chr06g0265008.1	4.881805	5.843748	4.829405	4.019931	5.707882	5.101877	5.315397	5.817115	7.937923	6.893181	6.883555	6.738281	6.961447	5.153437	6.055932	7.263415	5.073415	5.570763	3.231392	3.589138	3.459225	10.745703	9.932513	10.224209	7.049668	5.829331	7.704973	5.462847	7.917521	7.441739	7.361151	9.438627	10.207394	11.741313	8.223973	7.84603	6.529217	11.644116	8.141174	9.408326	8.905379	10.019648	2.00903	5.17406	4.482737	6.365832	8.227383	7.602115
Niben261Chr06g0490002.1	0.519129	0.351457	0.523304	0.505749	1.281143	0.637827	0.7879	1.04333	1.904392	1.165381	1.641301	1.194677	1.322275	1.993636	1.20799	1.704986	2.117008	2.299827	0.943744	0.846027	1.810441	8.153932	7.102423	7.894997	0.54879	0.501352	0.380509	0.581674	0.768659	0.930703	1.338463	1.303247	1.743722	1.701061	1.5157	1.178264	0.829988	1.442968	1.107464	2.125175	2.03033	1.219914	1.086647	0.866306	0.756412	3.776473	4.13571	4.009836
Niben261Chr06g0929002.1	1.257603	1.725723	2.275021	4.731209	9.997226	6.493352	13.061407	13.457356	23.258532	5.909699	3.787223	5.584846	2.874837	3.09962	2.727488	3.439712	5.271835	6.071101	2.080587	2.933903	2.543118	28.741539	30.971528	29.18298	1.98588	2.591248	3.3035	7.625423	14.164735	11.004389	12.490452	18.705706	14.411246	7.055597	2.539737	3.562497	1.373779	4.588407	1.455169	2.914294	3.009063	2.744838	2.521205	3.003924	2.421373	8.426051	12.802207	8.6518
Niben261Chr06g1148038.1	2.279295	2.259546	1.251724	3.017561	4.279918	2.560986	5.126061	5.060773	8.078583	4.473667	3.658485	5.175955	4.127887	3.673647	4.319609	3.996367	5.408381	4.086639	5.034274	6.970295	6.734741	18.854152	19.273607	14.649781	2.350607	2.983295	1.913128	5.733318	5.336337	4.500915	7.001073	7.872905	8.568498	4.523073	5.540478	4.056745	5.353946	4.655465	3.381506	5.135449	5.904614	5.27416	6.341528	7.35468	8.254996	12.199485	9.433881	12.441033
Niben261Chr07g0223004.1	10.242654	8.890117	7.891222	5.529365	10.03178	7.6385	11.845886	13.751123	26.226096	9.742929	7.199955	11.990773	8.757366	7.216761	7.481405	12.622006	18.559965	18.928741	3.70167	4.286157	5.47341	31.597218	30.975231	29.108392	14.451329	13.373511	16.123754	10.902902	15.248737	14.583741	18.335556	23.805954	21.725983	15.609199	6.438424	10.061672	6.883864	15.403704	5.574241	15.839075	21.097758	16.286034	6.034897	7.768484	6.07916	15.598019	18.945661	16.568234
Niben261Chr07g1296015.1	0	0	0.077698	0.304331	0.510696	0.117581	0.780071	0.520688	0.955723	0.224544	0.395551	0.239244	0.204678	0.243633	0.244237	0.231615	0.257406	0.17849	0.300467	0.385072	0.240282	2.222861	1.753132	1.648324	0.066682	0.024384	0.05425	0.319813	0.445413	0.405765	0.791951	0.554565	0.727176	0.584998	0.719186	0.261651	0.317132	0.272457	0.264483	0.115533	0.234063	0.460692	0.601216	0.434337	0.499688	1.774413	1.724426	1.701047
Niben261Chr07g1489022.1	0.376212	0.798755	0.296655	0.886301	1.07145	1.094434	1.168765	1.399392	1.134783	0.808776	0.784668	1.090834	0.575261	0.44548	0.606668	0.472181	0.348537	0.470779	0.743242	0.827687	0.763141	1.931929	2.618198	2.174715	0.620865	0.566557	0.549823	1.18553	1.398613	0.976363	1.270591	1.443836	1.514417	0.804096	0.286705	0.543523	0.666547	0.446332	0.407074	0.370195	0.5497	0.307844	1.314575	0.789568	0.775996	1.497284	1.449828	1.435318
Niben261Chr08g0005020.1	2.626872	1.992814	3.168412	4.175086	3.679057	2.952099	4.054245	3.996983	6.439033	2.311759	3.170916	4.21444	3.461907	2.902969	4.649183	3.810961	4.157848	4.395337	2.933557	4.125218	3.036871	9.427129	11.479214	11.109408	3.639279	4.423985	6.314732	4.079037	4.148565	4.186565	3.41945	4.592144	3.392089	5.451864	4.171898	2.670786	3.353186	4.869664	2.467022	4.681816	4.30136	4.686055	3.032603	4.305208	4.211832	5.736041	6.372776	4.896481
Niben261Chr08g0111016.1	0.556047	0.415364	0.25015	1.160645	1.378918	0.804052	1.38198	2.296815	4.374997	0.623124	0.354062	0.534936	0.752304	0.562864	0.748143	1.390121	1.624492	0.620988	1.359123	1.746326	1.582441	6.927469	6.448146	5.191311	0.882024	0.584905	0.994784	1.105254	5.023349	2.159225	0.986533	2.333733	1.36011	0.62483	0.712669	0.612341	1.119667	0.784929	0.824037	0.904935	0.84445	1.109728	1.360773	1.979714	2.236843	5.403857	4.510177	5.206666
Niben261Chr08g0220001.1	2.456602	1.922997	1.692914	2.462646	4.554735	2.986554	5.210135	4.423277	8.122697	3.992913	2.80768	2.641083	2.102307	2.4971	2.042173	2.106999	3.237921	2.891173	1.710617	2.81037	2.342544	13.814312	10.173852	9.731603	2.363156	2.124355	2.760783	4.593096	6.584722	4.933414	6.621999	5.583307	5.466165	4.134046	2.866577	2.096553	1.169126	4.198805	1.981799	2.768463	2.76331	2.387658	1.270667	2.163445	1.370723	2.997432	4.29842	2.96417
Niben261Chr08g0374014.1	0.168462	0.169875	0.189456	0.527262	0.728518	0.381287	0.516923	0.569045	0.939264	0.364966	0.277094	0.307057	0.233404	0.191833	0.210461	0.150405	0.171331	0.257437	0.234764	0.330657	0.313452	0.928508	1.01828	0.997816	0.106883	0.187621	0.289778	0.605278	1.038564	0.899353	0.819327	0.930751	0.713965	0.305778	0.232096	0.185507	0.203523	0.183752	0.129814	0.190699	0.177906	0.201732	0.332454	0.354752	0.358013	0.650098	0.645647	0.601204
Niben261Chr08g0678012.1	5.98625	8.730451	9.283479	10.487079	10.971346	13.663891	11.777845	15.180911	13.97289	16.093315	14.939536	13.526078	16.850704	12.773585	11.166213	11.101625	12.830855	13.88476	18.138964	17.666217	16.073104	29.80325	28.884094	36.111057	8.884064	10.337281	10.905457	21.252028	17.866059	15.705139	17.335676	22.456802	18.768374	16.904522	20.621405	14.369581	20.595637	15.080439	17.549856	10.139506	9.966094	14.837423	16.71661	14.492713	12.550208	16.098165	16.776429	18.984053
