GeneID	Description	GFP22h1	GFP22h2	GFP22h3	GFP25h1	GFP25h2	GFP25h3	GFP28h1	GFP28h2	GFP28h3	GFP34h1	GFP34h2	GFP34h3	GFP37h1	GFP37h2	GFP37h3	GFP40h1	GFP40h2	GFP40h3	GFP46h1	GFP46h2	GFP46h3	GFP56h1	GFP56h2	GFP56h3	pcrtB22h1	pcrtB22h2	pcrtB22h3	pcrtB25h1	pcrtB25h2	pcrtB25h3	pcrtB28h1	pcrtB28h2	pcrtB28h3	pcrtB34h1	pcrtB34h2	pcrtB34h3	pcrtB37h1	pcrtB37h2	pcrtB37h3	pcrtB40h1	pcrtB40h2	pcrtB40h3	pcrtB46h1	pcrtB46h2	pcrtB46h3	pcrtB56h1	pcrtB56h2	pcrtB56h3
Niben261Chr09g0265002.1	mRNA cap-binding protein	52.546459	55.894195	52.92471	50.521315	52.897392	54.065948	49.629846	51.964013	46.129927	44.916381	52.831241	60.258965	55.880061	56.851471	56.191509	59.099247	54.9776	57.074523	50.551057	48.985139	51.553997	51.370651	50.600472	47.558717	47.645509	55.033166	49.646838	40.100653	48.609914	50.335793	43.488925	45.986714	37.635535	44.914327	52.332329	50.792551	62.35173	52.01418	59.328871	56.474951	58.196435	55.290402	53.927428	51.871534	48.870732	58.735262	58.019799	59.340909
Niben261Chr09g0470007.1	Ribosomal protein L19	127.036445	191.487832	133.309799	116.989663	107.93542	105.337963	104.329903	92.773134	86.182325	132.458471	145.018026	121.50971	149.374109	155.050798	167.919273	150.741282	169.82761	152.060574	111.905508	106.709838	98.481966	112.643535	131.558535	137.91538	117.806796	166.349362	123.19297	124.214747	101.652033	107.487653	83.754407	82.211354	81.389118	126.032917	131.244238	122.062537	165.484962	143.925062	174.317763	161.147086	174.074203	153.781577	144.312129	121.151896	127.659043	149.816873	161.262628	146.171542
Niben261Chr10g0098013.1	Small nuclear ribonucleoprotein Sm D1	51.08999	58.97468	51.5584	49.181714	47.897601	47.61623	45.343507	39.837688	40.816187	49.179415	60.028412	48.39687	65.509385	66.706841	58.8588	55.765657	64.827265	66.360498	45.531099	49.820128	51.011873	45.898338	58.272903	68.580588	50.812922	53.190828	35.734638	35.913106	40.890457	40.821071	36.73331	33.732288	36.137031	65.440446	68.241734	48.890802	71.951822	57.734825	76.440229	71.27365	54.096063	58.541231	67.753432	51.297463	52.045017	64.495256	76.821182	63.305947
Niben261Chr10g0154018.1	Ribosomal protein L19	164.766559	219.926535	190.606181	158.272436	163.296796	147.177133	137.711433	131.078073	128.850226	197.439495	186.079277	164.839248	212.617762	204.36026	223.558846	190.131032	234.275699	197.433593	176.790298	178.299827	163.80881	159.604938	183.322606	182.250272	157.675348	200.885269	164.170305	184.134603	154.063152	143.662466	119.916661	120.240794	114.615899	149.125589	185.281335	157.288165	238.369023	183.021062	236.888219	202.322482	229.851612	198.266739	202.815675	154.410008	176.552847	190.160813	204.27637	178.522139
Niben261Chr10g0242005.1	40S ribosomal protein S8	91.28793	127.841473	88.529758	98.341607	86.597953	106.025049	106.20401	89.889809	79.657451	116.771128	125.213998	111.279375	122.352659	126.591826	146.488376	102.679947	106.005887	116.425416	89.788901	84.547728	82.752845	80.28427	98.886794	95.502966	87.142954	106.973081	74.204937	106.461568	76.154247	79.476324	71.52719	66.69031	68.900787	98.561743	110.982798	92.421028	143.864099	103.353831	152.09212	113.738887	110.410802	109.88964	110.344387	91.961378	89.383932	101.018389	120.822992	113.331501
Niben261Chr10g1018014.1	40S ribosomal protein SA	43.845536	57.272527	48.021786	41.104313	40.189688	39.451622	41.201394	34.738261	27.025116	42.617104	48.472197	40.890776	44.035372	44.748174	55.878626	39.375486	42.739906	49.569294	33.4692	31.425995	30.487062	27.030372	32.939566	31.719101	41.31274	57.604937	36.964785	36.29869	33.128384	35.710194	25.210074	24.42288	29.095225	34.893655	44.128001	38.372664	54.704998	40.521131	54.64028	41.528147	53.810756	48.309899	51.210409	35.938878	35.617117	50.97553	46.27454	50.365043
Niben261Chr10g1083018.1	60S ribosomal protein L34	331.385846	487.112409	301.143414	344.920432	292.845194	346.804976	322.15708	268.638987	304.681516	393.710463	414.916688	459.381726	435.150064	432.036607	444.765005	420.248889	393.037678	493.155355	358.905799	281.783029	332.264898	353.225518	337.479761	369.298309	324.918618	412.819112	333.937525	231.155158	262.950745	256.770179	220.445337	232.93342	221.315002	316.387021	362.208274	358.439128	391.800083	367.889134	418.389391	312.425212	391.7089	372.268476	312.024038	378.962043	294.828132	420.86262	442.082505	385.767218
Niben261Chr10g1090032.1	ERBB-3 BINDING PROTEIN 1	19.106079	23.962407	17.529393	18.453146	16.276256	14.786261	14.066331	13.807199	12.441257	20.028704	23.635509	22.82998	22.417796	21.475972	22.95021	19.732177	19.482653	23.088984	19.276311	17.199688	17.274539	18.200341	21.649	20.821999	17.160338	18.578447	17.906072	13.370244	15.985987	14.82276	13.327841	14.730801	12.533645	19.347915	20.915459	18.524939	25.849307	23.050502	25.807097	21.898477	26.108424	22.512086	20.401137	21.293549	23.415517	25.859049	26.384619	26.821657
Niben261Chr11g0410006.1	Polyadenylate-binding protein	11.508241	14.776686	10.585843	13.419177	9.344718	9.01877	10.282469	10.08532	9.692093	11.887455	14.44137	12.080814	11.93464	11.403891	13.632611	11.514153	11.156849	11.098035	9.018794	9.056856	7.728573	8.792036	11.571616	12.131259	12.155985	13.15904	10.649642	9.863568	9.253527	9.623707	7.720644	8.543572	7.797863	12.943383	14.27089	12.512022	14.817447	10.740204	16.046309	11.329158	13.290448	13.494716	12.614922	10.667392	9.904018	14.258034	15.063805	16.072681
Niben261Chr11g1321005.1	60S ribosomal protein L44	112.756666	130.104941	125.754415	89.925103	93.860532	108.156229	96.881036	94.465856	99.09097	91.832357	88.23579	101.253854	109.969281	106.110497	126.28752	100.793817	125.238099	109.326514	94.27967	101.532397	92.052247	109.050746	117.071179	123.509007	111.704791	134.382216	106.776192	110.961582	91.053894	114.94507	79.156493	87.202021	84.125342	97.579285	88.879432	87.901283	126.143334	99.340832	129.376621	123.739415	116.621096	110.768238	124.764583	108.424533	112.344276	126.697803	144.066743	137.805713
