Name	pcrtBAA_vs_GFPAA_filtered
Niben261Chr13g1134005.1	0,703748573211023
Niben261Chr12g0056004.1	-0,751398408205031
Niben261Chr14g0603013.1	0,650152808400762
Niben261Chr15g1079004.1	-0,668242779813737
Niben261Chr06g1257019.1	-2,21706154809542
Niben261Chr10g1120003.1	-0,680863809585494
Niben261Chr06g0401014.1	-1,83042132461611
Niben261Chr17g0332009.1	-0,987137016313713
Niben261Chr06g1100010.1	-2,1024852133989
Niben261Chr10g0219001.1	-1,35446786835101
Niben261Chr09g1259002.1	-1,21463894067387
Niben261Chr04g0117004.1	-0,946273308407
Niben261Chr11g1206005.1	-0,800128691145298
Niben261Chr15g1466012.1	-0,860448280199708
Niben261Chr02g0744003.1	-1,75005805746856
Niben261Chr16g0173009.1	-1,39531187311749
Niben261Chr09g0522012.1	0,69553724865231
Niben261Chr15g0598002.1	-0,945944343829303
Niben261Chr03g0640001.1	-0,774167729956548
Niben261Chr17g0826009.1	-0,6909774493347
Niben261Chr11g1073017.1	-0,642930413040357
Niben261Chr18g1176001.1	-0,624168080230269
Niben261Chr19g1456001.1	-0,872907722729507
Niben261Chr07g0156020.1	-0,63942660401538
Niben261Chr13g0396010.1	-1,52523694361564
Niben261Chr02g0766019.1	-0,631556022004313
Niben261Chr10g0348005.1	-3,51653837712119
Niben261Chr14g0799012.1	-1,04040578050204
Niben261Chr05g0060003.1	0,689857992930908
Niben261Chr03g0081010.1	0,751758036442395
Niben261Chr11g1261002.1	-1,08419902495377
Niben261Chr16g1264006.1	-1,01448313779059
Niben261Chr05g0084016.1	-0,674737448217899
Niben261Chr14g1493018.1	-0,652167329590908
Niben261Chr09g0613003.1	-1,074050470172
Niben261Chr05g0582001.1	-2,81616505754147
Niben261Chr08g1030007.1	-0,910312976462809
Niben261Chr04g0391002.1	-2,83126757827459
Niben261Chr15g0661009.1	1,44414948876329
Niben261Chr03g1031012.1	0,925276114713478
Niben261Chr06g1087003.1	-1,92365296195528
