Name	pcrtB96h_vs_GFP96h_filtered
Niben261Chr11g1136022.1	1,27467086357238
Niben261Chr03g0619007.1	1,2572575884163
Niben261Chr17g1061016.1	1,2248104108752
Niben261Chr19g1041002.1	1,2311464020935
Niben261Chr08g0335010.1	1,02097972081275
Niben261Chr18g1261001.1	0,984207497441946
Niben261Chr17g1458001.1	1,36147728137445
Niben261Chr04g0194011.1	1,82311666094464
Niben261Chr09g0592002.1	0,876284982054231
Niben261Chr05g1203005.1	1,19732461977049
Niben261Chr15g0695007.1	1,12198038132702
Niben261Chr17g0224004.1	-2,62916531536894
Niben261Chr01g1173006.1	1,34548179761798
Niben261Chr17g0406012.1	0,885566069552974
Niben261Chr08g0351004.1	-1,65821193695422
Niben261Chr16g0468016.1	1,06908844144184
Niben261Chr07g1444001.1	1,06153367647699
Niben261Chr07g0566006.1	1,15250540515753
Niben261Chr06g1170008.1	0,840581613118628
Niben261Chr01g0387015.1	0,819755251827268
Niben261Chr09g1341003.1	-1,22244797171857
Niben261Chr19g0446003.1	1,21718516410295
Niben261Chr03g0850015.1	1,09305816468203
Niben261Chr15g0408008.1	-2,14886933293264
Niben261Chr07g0184003.1	1,16316444266366
Niben261Chr07g1167018.1	1,04291510559302
Niben261Chr03g1586001.1	1,19859975383567
Niben261Chr15g0830005.1	1,24990356709891
Niben261Chr05g1054010.1	1,40158394808628
Niben261Chr08g1247003.1	0,976528760115094
Niben261Chr04g0512013.1	-0,897443815575777
Niben261Chr16g0815002.1	0,911259294162419
Niben261Chr01g1570004.1	-1,18379935102651
Niben261Chr05g0975001.1	1,07753365497408
Niben261Chr05g1381006.1	1,33427678066964
Niben261Chr07g1466013.1	-0,947708204622599
Niben261Chr16g0310016.1	-1,05866887115807
Niben261Chr03g1596003.1	-1,07127659017497
Niben261Chr09g1244008.1	-1,00989103077868
Niben261Chr18g1483006.1	-1,08437274552955
Niben261Chr04g0493008.1	0,918177126050642
Niben261Chr11g1146016.1	2,70492333906297
Niben261Chr19g1468005.1	-1,02804933757691
Niben261Chr01g1224027.1	-1,0058376140104
Niben261Chr11g1090019.1	0,892836220280988
Niben261Chr10g0206014.1	1,38681274614786
Niben261Chr04g0549007.1	1,05142836025195
Niben261Chr10g0240007.1	1,02048577857327
Niben261Chr04g1436001.1	1,61807597879749
Niben261Chr04g0957015.1	-0,92065891834407
Niben261Chr07g1242009.1	0,912770381967353
Niben261Chr06g1470007.1	0,87295568337516
Niben261Chr17g1227005.1	1,26822822170851
Niben261Chr06g0360004.1	1,41119012495988
Niben261Chr14g0973004.1	0,878725023641297
Niben261Chr07g0697012.1	1,44069491217093
Niben261Chr10g0304001.1	-2,35552396858899
Niben261Chr13g1145012.1	0,85181367615975
Niben261Chr01g0970022.1	1,04920182966575
Niben261Chr06g0367005.1	0,968224811728319
Niben261Chr19g1063004.1	1,24318800184539
Niben261Chr16g0537006.1	-0,783525630206656
Niben261Chr09g0889013.1	1,14532562418472
Niben261Chr17g0754001.1	-1,48786743305811
Niben261Chr16g1196004.1	-2,51580447619322
Niben261Chr19g0728003.1	0,855523540495109
Niben261Chr09g1233014.1	1,00264061386145
Niben261Chr18g1461007.1	0,895455014371996
Niben261Chr13g0253007.1	-1,1095073286175
Niben261Chr05g0696002.1	1,05798773318825
Niben261Chr19g0827005.1	1,35402938314846
Niben261Chr09g0616013.1	-0,795310022069769
Niben261Chr14g0665007.1	0,93313507483781
Niben261Chr09g0680004.1	-1,10717993722695
Niben261Chr18g0368002.1	-1,34699708599256
Niben261Chr05g0908008.1	0,781960890812327
Niben261Chr08g0226003.1	1,27398303741034
Niben261Chr11g0028002.1	-1,25018272710725
Niben261Chr04g0131013.1	1,23891902887754
Niben261Chr14g1510021.1	0,971309702002862
Niben261Chr14g1077002.1	-2,24884839099093
