Name	pcrtBDD_vs_GFPDD_filtered
Niben261Chr19g1403006.1	-0,646900160343643
Niben261Chr09g0792020.1	-0,817647507426364
Niben261Chr07g1331004.1	-0,726886139570716
Niben261Chr05g0165008.1	0,646617977023399
Niben261Chr07g0786007.1	2,30247017156506
Niben261Scf03248g0000008.1	-1,74779914702761
Niben261Chr03g1260008.1	-0,630201497297765
Niben261Chr19g1035002.1	0,79332730865367
Niben261Chr13g0293003.1	0,820098730084462
Niben261Chr16g0596003.1	-1,55231148885498
Niben261Chr10g0349031.1	-0,683186366754366
Niben261Chr17g0627002.1	7,30250242331064
Niben261Chr01g1780003.1	-0,932867426797241
Niben261Chr18g0021002.1	-0,974306488607211
Niben261Chr09g0002013.1	2,32635589755128
Niben261Chr13g0866003.1	-0,965904862710934
Niben261Chr10g0164002.1	-6,26635741335687
Niben261Chr17g1538007.1	-1,45638818650015
Niben261Chr09g1297002.1	-0,719752950563966
Niben261Chr13g0357002.1	-2,21002143573381
Niben261Chr03g0822026.1	-6,53220801246504
Niben261Chr09g0677003.1	-1,62879329096238
Niben261Chr09g0721008.1	-1,52055484724683
Niben261Chr15g0964005.1	6,4967602354135
Niben261Chr18g0746001.1	-5,29810068405922
Niben261Chr12g0437008.1	-1,39994858968267
Niben261Chr02g1408002.1	-6,53449981228456
Niben261Chr16g0270010.1	-0,696117946510649
Niben261Chr14g1179009.1	-2,39442414947274
Niben261Chr04g0300009.1	-1,3772345076874
Niben261Chr10g0348005.1	1,82170681689421
Niben261Chr01g0714004.1	-5,25469301524694
Niben261Chr09g0721003.1	-1,6701375068435
Niben261Chr08g0143015.1	-2,14367223990448
Niben261Chr03g1709015.1	-1,0477411853387
Niben261Chr15g0628012.1	-2,69324735548041
Niben261Chr15g0654010.1	-0,640499323026288
Niben261Chr12g1158002.1	-1,36848869148738
Niben261Chr03g0273006.1	-1,99790236712449
Niben261Chr10g0943002.1	-0,787862987817616
Niben261Chr06g0606002.1	0,844445933363661
Niben261Chr03g1518007.1	0,881784091363564
Niben261Chr07g1055007.1	4,8952308154167
Niben261Chr11g1146016.1	1,90509473902639
Niben261Chr02g0458003.1	0,897205859851994
Niben261Chr08g1126015.1	0,709026999620859
Niben261Chr11g0201021.1	-8,68934089794236
Niben261Chr02g1185003.1	-1,75584893291824
Niben261Chr17g1295008.1	0,939688366031716
Niben261Chr14g1474007.1	-1,79912154993386
Niben261Chr09g1195001.1	-1,4697177534604
Niben261Chr09g0872017.1	-0,886774669338574
Niben261Chr08g0466006.1	1,353578649407
Niben261Chr01g0547003.1	-1,04815709267104
Niben261Chr14g0363001.1	1,52033627678315
Niben261Chr09g0958009.1	-2,02005097925768
Niben261Chr06g0507008.1	-1,58856870444135
Niben261Chr19g1158012.1	-3,04531678343641
Niben261Chr19g0770016.1	-0,824592664923352
Niben261Chr15g1165011.1	0,87662960551855
Niben261Chr14g0997003.1	-5,57864757530518
Niben261Chr12g0665003.1	0,662035545601001
Niben261Chr17g0798005.1	-0,811832551895069
Niben261Chr09g1093015.1	-5,34110467234062
Niben261Chr09g1124001.1	-1,03507069570127
Niben261Chr18g0537004.1	4,06553608366661
Niben261Chr06g1257019.1	-1,75820742989271
Niben261Chr01g0027018.1	-3,29153178646136
Niben261Chr07g1009008.1	0,970212176452525
Niben261Chr02g1414006.1	-1,23070855582367
Niben261Chr07g0941010.1	0,822687307223035
Niben261Chr05g0726002.1	1,09050576208012
Niben261Chr11g1362020.1	-1,11203804181256
Niben261Chr16g0520006.1	-1,08140971110874
Niben261Chr04g0059015.1	-1,11894201341069
Niben261Chr03g0822044.1	2,19319630051678
Niben261Chr11g0854010.1	0,6128355812119
Niben261Chr06g0826001.1	1,21026551451414
Niben261Chr11g1076009.1	-1,05230287795149
Niben261Chr02g1284017.1	-0,78233539381179
Niben261Chr04g0059012.1	-0,603074271374937
Niben261Chr17g0115007.1	6,22027934553832
Niben261Chr09g1220002.1	2,08803137061721
Niben261Chr08g1099004.1	-6,95508691168708
Niben261Chr01g1463001.1	-0,915036723995432
Niben261Chr15g1209002.1	0,657075815062049
Niben261Chr06g0650007.1	-0,862555456254303
Niben261Chr02g1037003.1	-0,890222498708751
Niben261Chr06g0319014.1	-1,9824762718319
Niben261Chr03g0287037.1	-1,3908010876352
Niben261Chr05g1261019.1	1,08227459197362
Niben261Chr08g0067004.1	0,944817808369489
Niben261Chr19g1477007.1	1,22387202444451
Niben261Chr12g0913008.1	-5,44464705143228
Niben261Chr16g0430012.1	3,01887370747856
Niben261Chr14g0544011.1	-1,7178034153018
Niben261Chr16g0514022.1	-0,898200038121976
Niben261Chr03g0127006.1	-1,84334644370494
Niben261Chr04g0448010.1	-1,23844373689571
Niben261Chr06g1194007.1	1,26299371932964
Niben261Chr18g0532003.1	0,642941222706896
Niben261Chr05g1379010.1	0,892730078320272
Niben261Chr09g1304004.1	-0,828322563118827
Niben261Chr07g1020004.1	-5,19825288182871
Niben261Chr19g1137015.1	-0,701659101281872
Niben261Chr13g1044001.1	-1,57855017948404
Niben261Chr03g1585005.1	0,956162297955397
Niben261Chr07g0892004.1	-3,56926226429895
Niben261Chr13g1433002.1	-5,9850616986945
Niben261Chr09g0866011.1	-1,26067612996113
Niben261Chr10g0997006.1	-0,688908214374401
Niben261Chr11g1088014.1	0,597863752800337
Niben261Chr17g1358004.1	1,06826216365013
Niben261Chr13g1176004.1	-0,636101012247842
Niben261Chr13g1284003.1	-7,40856084581492
Niben261Chr19g1462002.1	-0,96929449813848
Niben261Chr09g1062005.1	2,19094489244471
Niben261Chr04g0065003.1	-0,711672877789223
Niben261Chr03g0999006.1	-1,89988849350872
Niben261Chr11g0977014.1	-4,85895342565214
Niben261Chr10g0481005.1	-0,960123478861056
Niben261Chr01g0083001.1	1,13329579675279
Niben261Chr04g1769004.1	-0,826653621309775
Niben261Chr17g0049007.1	0,624505405357314
Niben261Chr18g0085011.1	-0,798953781781993
Niben261Chr12g0373010.1	1,19262484201228
Niben261Chr06g1221010.1	-1,2151672815791
Niben261Chr03g0331003.1	1,57674316816984
